                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3699,                 2.2955,                 1.6752,                 0.0038,                   0.98,                0.37763,                0.13134,                 1.7714,                 3.4319,                 2.3676,                 0.0004,                 0.0004,                 0.0004
                      2,                 1.3614,                 1.9806,                 1.7046,                0.40337,                0.39223,                0.36697,                0.12431,                 1.7922,                  3.279,                 2.8012,             0.00081188,             0.00081188,             0.00081188
                      3,                 1.4475,                 1.9738,                 1.8128,                0.28468,                   0.34,                0.24315,                 0.0897,                 2.1516,                 3.0123,                 3.2762,              0.0012154,              0.0012154,              0.0012154
                      4,                 1.5518,                 2.1163,                 1.9075,                 0.1634,                    0.4,                0.10624,                0.02455,                 3.0485,                 3.6098,                 4.6597,              0.0016107,              0.0016107,              0.0016107
                      5,                 1.6196,                 2.0861,                 1.9474,                0.25584,                    0.3,                0.15116,                 0.0425,                 2.5747,                 6.4086,                 5.0571,              0.0019208,              0.0019208,              0.0019208
                      6,                 1.5663,                 1.8698,                 1.8353,                0.33548,                   0.44,                0.35244,                0.10355,                 2.1894,                  4.462,                 3.5473,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.6089,                 1.9632,                 1.9084,                0.23826,                   0.26,                0.15712,                0.04355,                 2.1853,                 3.6141,                 3.0598,               0.001901,               0.001901,               0.001901
                      8,                 1.6427,                 2.0105,                 1.9119,                  0.245,                   0.24,                0.17543,                0.04874,                 2.4772,                 5.0284,                 3.2313,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.5531,                 1.9418,                 1.8867,                0.16002,                    0.3,                0.15677,                0.03813,                 2.7626,                  6.193,                 3.7433,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.5712,                 1.7502,                 1.8484,                0.33698,                   0.42,                0.26495,                0.06957,                 2.6514,                  4.236,                 3.5144,              0.0018416,              0.0018416,              0.0018416
